book_name,unit,english,korean,example
워드마스터,chapter1,inform,"알리다, 통지하다",inform
워드마스터,chapter1,advise,충고하다,advise
워드마스터,chapter1,service,"봉사, 공공 업무, 서비스",service
워드마스터,chapter1,provide,"공급하다, 준비하다",provide
워드마스터,chapter1,relationship,관계,relationship
워드마스터,chapter1,behave,(예의 바르게) 행동하다,behave
워드마스터,chapter1,improve,"향상시키다, 향상하다",improve
워드마스터,chapter1,individual,"개인, 개인의, 개인적인",individual
워드마스터,chapter1,require,"필요로 하다, 요구하다",require
워드마스터,chapter1,develop,"개발하다, 발달하다",develop
워드마스터,chapter1,social,"사회의, 사교적인",social
워드마스터,chapter1,amount,"총계, 양, 총계가~이 되다",amount
워드마스터,chapter1,employ,"고용하다, 쓰다",employ
워드마스터,chapter1,terrible,"무서운, 끔찍한",terrible
워드마스터,chapter1,attitude,"태도, 입장",attitude
워드마스터,chapter1,research,"연구, 연구하다, 조사하다",research
워드마스터,chapter1,audience,"청중, 관객",audience
워드마스터,chapter1,volunteer,"자원봉사, 자발적으로 ~하다",volunteer
워드마스터,chapter1,influence,"영향, 영향을 끼치다",influence
워드마스터,chapter1,international,"국제의, 국제적인",international
워드마스터,chapter1,opportunity,기회,opportunity
워드마스터,chapter1,ability,능력,ability
워드마스터,chapter1,expense,"비용, 지출",expense
워드마스터,chapter1,involve,"포함하다, 관련되다",involve
워드마스터,chapter1,stress,"강조, 스트레스, 강조하다, 압력을 주다",stress
워드마스터,chapter1,therefore,"그러므로, 그 결과",therefore
워드마스터,chapter1,average,"평균, 평균의, 평균이 ~가 되다",average
워드마스터,chapter1,ride,"(탈 것을) 타다, 태움",ride
워드마스터,chapter1,local,"지방의, 지역의, 장소의",local
워드마스터,chapter1,encourage,"촉구하다, 격려하다",encourage
워드마스터,chapter2,determine,"결심하다, 결정하다",determine
워드마스터,chapter2,comfort,"편안하게 하다, 위로하다, 편안, 위로",comfort
워드마스터,chapter2,consume,소비하다,consume
워드마스터,chapter2,object,"물체, 목표, 반대하다",object
워드마스터,chapter2,impress,~에게 깊은 인상을 주다,impress
워드마스터,chapter2,available,"이용 가능한, 쓸모 있는",available
워드마스터,chapter2,contain,"함유하다, 포함하다, 억제하다",contain
워드마스터,chapter2,recognize,"인지하다, 인정하다",recognize
워드마스터,chapter2,material,"재료, 물질, 물질의",material
워드마스터,chapter2,positive,"긍정적인, 확신하는",positive
워드마스터,chapter2,emotion,감정,emotion
워드마스터,chapter2,amaze,놀라게 하다,amaze
워드마스터,chapter2,reduce,"줄이다, 낮추다",reduce
워드마스터,chapter2,discover,발견하다,discover
워드마스터,chapter2,essence,"(사물의) 본질, 정수",essence
워드마스터,chapter2,benefit,"이익, 이익이 되다",benefit
워드마스터,chapter2,affect,"~에 영향을 미치다, ~인 체 하다",affect
워드마스터,chapter2,level,"수준, 수평, 수평의, 평탄하게 만들다",level
워드마스터,chapter2,chemistry,"화학, 교감",chemistry
워드마스터,chapter2,immediate,"직접의, 즉각적인",immediate
워드마스터,chapter2,thus,"그러므로, 따라서",thus
워드마스터,chapter2,proper,"적절한, 알맞은",proper
워드마스터,chapter2,profession,"직업, 직종",profession
워드마스터,chapter2,economic,"경제의, 경제학의",economic
워드마스터,chapter2,cell,"세포, 작은 방, 독방",cell
워드마스터,chapter2,focus,"초점, 집중하다",focus
워드마스터,chapter2,issue,"논란거리, 발행, 발행물, 발행하다",issue
워드마스터,chapter2,decide,"결심하다, 결정하다",decide
워드마스터,chapter2,demand,"요구하다, 수요",demand
워드마스터,chapter2,occur,"(사건이)일어나다, 발생하다",occur
워드마스터,chapter3,complex,"복잡한, 복합체",complex
워드마스터,chapter3,define,"정의하다, 한계 짓다, 한정하다",define
워드마스터,chapter3,proud,"자랑스러워하는, 자만하는",proud
워드마스터,chapter3,aware,"인지하는, 알고 있는",aware
워드마스터,chapter3,contact,"접촉, 접촉하다",contact
워드마스터,chapter3,performance,"공연, 성적, 성과",performance
워드마스터,chapter3,detail,"세부, 상술하다",detail
워드마스터,chapter3,approach,"접근하다, 접근",approach
워드마스터,chapter3,participate,"참여하다, 참가하다",participate
워드마스터,chapter3,fashion,"유행, 방식, 만들어 내다",fashion
워드마스터,chapter3,package,"꾸러미, 포장, 포장하다",package
워드마스터,chapter3,disappear,사라지다,disappear
워드마스터,chapter3,career,"직업, 경력",career
워드마스터,chapter3,secure,"안전한, 안전하게 하다, 확보하다",secure
워드마스터,chapter3,novel,"(장편)소설, 참신한",novel
워드마스터,chapter3,despite,~에도 불구하고,despite
워드마스터,chapter3,background,"배경, 배경지식, 이유",background
워드마스터,chapter3,solution,"해결, 해결책, 용액",solution
워드마스터,chapter3,generate,"일으키다, 발생시키다",generate
워드마스터,chapter3,eventually,결국,eventually
워드마스터,chapter3,decrease,"감소, 감소하다",decrease
워드마스터,chapter3,recycle,재활용하다,recycle
워드마스터,chapter3,desire,"욕망, 욕구, 바라다",desire
워드마스터,chapter3,balance,"균형, 은행 잔고, 균형을 이루다",balance
워드마스터,chapter3,publish,"발표하다, 출판하다",publish
워드마스터,chapter3,congratulate,축하하다,congratulate
워드마스터,chapter3,compose,"구성하다, 작문하다, 작곡하다",compose
워드마스터,chapter3,follow,"따라가다, (규칙을) 따르다",follow
워드마스터,chapter3,negative,부정적인,negative
워드마스터,chapter3,occasion,"경우, 특별한 일",occasion
워드마스터,chapter4,replace,대체하다,replace
워드마스터,chapter4,expert,전문가,expert
워드마스터,chapter4,term,"기간, 학기, 용어",term
워드마스터,chapter4,relieve,"경감하다, 안도시키다",relieve
워드마스터,chapter4,describe,"묘사하다, 표현하다",describe
워드마스터,chapter4,biology,생물학,biology
워드마스터,chapter4,due,"만기의, ~하기로 되어 있는",due
워드마스터,chapter4,equipment,"장치, 장비",equipment
워드마스터,chapter4,account,"은행 계좌, 이야기, 설명하다",account
워드마스터,chapter4,birth,탄생,birth
워드마스터,chapter4,constant,"일정한, 불변의, 상수",constant
워드마스터,chapter4,genius,"천재, 천재성",genius
워드마스터,chapter4,reflect,"반영하다, 반사하다, 숙고하다",reflect
워드마스터,chapter4,cause,"~의 원인이 되다, 원인",cause
워드마스터,chapter4,frequent,"빈번한, 종종 방문하다",frequent
워드마스터,chapter4,steady,"안정된, 한결같은, 꾸준한",steady
워드마스터,chapter4,extreme,"극단의, 극단",extreme
워드마스터,chapter4,tend,"~하는 경향이 있다(to), 돌보다",tend
워드마스터,chapter4,insist,주장하다,insist
워드마스터,chapter4,extend,"연장하다, 넓히다",extend
워드마스터,chapter4,politics,"정치, 정치학",politics
워드마스터,chapter4,lonely,외로운,lonely
워드마스터,chapter4,habitat,"서식지, 주거지",habitat
워드마스터,chapter4,mental,정신의,mental
워드마스터,chapter4,factor,"요인, 요소",factor
워드마스터,chapter4,exchange,교환하다,exchange
워드마스터,chapter4,active,"활동적인, 적극적인",active
워드마스터,chapter4,species,(생물 분류상의) 종,species
워드마스터,chapter4,athletic,"운동의, 운동 경기의",athletic
워드마스터,chapter4,dental,치아의,dental
워드마스터,chapter5,delight,"기쁨, 기쁘게 하다",delight
워드마스터,chapter5,confident,자신 있는,confident
워드마스터,chapter5,gradually,"점차, 차츰",gradually
워드마스터,chapter5,electricity,전기,electricity
워드마스터,chapter5,shadow,"그림자, 그늘지게 하다",shadow
워드마스터,chapter5,access,"접근, 이용, (인터넷을) 이용하다",access
워드마스터,chapter5,announce,"발표하다, 알리다",announce
워드마스터,chapter5,allow,"허락하다, 인정하다",allow
워드마스터,chapter5,firm,"확고한, 단단한, 회사",firm
워드마스터,chapter5,vary,"바꾸다, 변하다, 다르다",vary
워드마스터,chapter5,injure,~에게 상처를 입히다,injure
워드마스터,chapter5,permit,허락하다,permit
워드마스터,chapter5,threat,"위협, 협박",threat
워드마스터,chapter5,flood,"홍수, 범람시키다",flood
워드마스터,chapter5,disabled,"무능력의, 장애의",disabled
워드마스터,chapter5,lack,"부족, ~가 부족하다",lack
워드마스터,chapter5,signify,"의미하다, 중요하다",signify
워드마스터,chapter5,concentrate,집중하다,concentrate
워드마스터,chapter5,emphasize,강조하다,emphasize
워드마스터,chapter5,astronomy,천문학,astronomy
워드마스터,chapter5,commerce,"상업, 교역",commerce
워드마스터,chapter5,capable,"능력 있는, ~을 할 수 있는",capable
워드마스터,chapter5,fuel,"연료, 연료를 가하다",fuel
워드마스터,chapter5,manufacture,"제조, 제품, 제조하다",manufacture
워드마스터,chapter5,movement,"움직임, 운동",movement
워드마스터,chapter5,combine,"결합시키다, 겸하다",combine
워드마스터,chapter5,gene,유전자,gene
워드마스터,chapter5,response,"응답, 반응",response
워드마스터,chapter5,victim,"희생, 희생자",victim
워드마스터,chapter5,pressure,"압력, 압박, 압력을 가하다",pressure
워드마스터,chapter6,accompany,동반하다,accompany
워드마스터,chapter6,frustrate,좌절시키다,frustrate
워드마스터,chapter6,construct,건설하다,construct
워드마스터,chapter6,dwindle,"점점 줄어들다, 저하되다",dwindle
워드마스터,chapter6,increase,"(수량이) 늘다, 증가, 이자",increase
워드마스터,chapter6,entertain,즐겁게 하다,entertain
워드마스터,chapter6,predict,"예언하다, 예측하다",predict
워드마스터,chapter6,apologize,사과하다,apologize
워드마스터,chapter6,sight,"시야, 광경, 시력",sight
워드마스터,chapter6,quantity,양,quantity
워드마스터,chapter6,conclude,"결론짓다, 끝내다",conclude
워드마스터,chapter6,donate,기부하다,donate
워드마스터,chapter6,personality,"개성, 성격, 특색",personality
워드마스터,chapter6,struggle,"싸우다, 노력하다, 노력, 투쟁",struggle
워드마스터,chapter6,electronic,전자의,electronic
